iteration,seed_1,seed_7,seed_19,seed_42,seed_123,seed_233
154,7.300000000000001,7.7,7.2,6.7,6.2,7.2
155,7.300000000000001,7.7,7.2,6.7,6.2,7.2
156,7.300000000000001,7.7,7.2,6.7,6.2,7.2
157,7.300000000000001,7.7,7.2,6.7,6.2,7.2
158,7.300000000000001,7.7,7.2,6.7,6.2,7.2
159,7.300000000000001,7.7,7.2,6.7,6.2,7.2
160,7.300000000000001,7.7,7.2,6.7,6.2,7.2
161,7.300000000000001,7.7,7.2,6.7,6.2,7.2
162,7.300000000000001,7.7,7.2,6.7,6.2,7.2
163,7.300000000000001,7.7,7.2,6.7,6.2,7.2
164,7.300000000000001,7.7,7.2,6.7,6.2,7.2
165,7.300000000000001,7.7,7.2,6.7,6.2,7.2
166,7.300000000000001,7.7,7.2,6.7,6.2,7.2
167,7.300000000000001,7.7,7.2,6.7,6.2,7.2
168,7.300000000000001,7.7,7.2,6.7,6.2,7.2
169,7.300000000000001,7.7,7.2,6.7,6.2,7.2
170,7.300000000000001,7.7,7.2,6.7,6.2,7.2
171,7.300000000000001,7.7,7.2,6.7,6.2,7.2
172,7.300000000000001,7.7,7.2,6.7,6.2,7.2
173,7.300000000000001,7.7,7.2,6.7,6.2,7.2
174,7.300000000000001,7.7,7.2,6.7,6.2,7.2
175,7.300000000000001,7.7,7.2,6.7,6.2,7.2
176,7.300000000000001,7.7,7.2,6.7,6.2,7.2
177,7.300000000000001,7.7,7.2,6.7,6.2,7.2
178,7.300000000000001,7.7,7.2,6.7,6.2,7.2
179,7.300000000000001,7.7,7.2,6.7,6.2,7.2
180,7.300000000000001,7.7,7.2,6.7,6.2,7.2
